id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,c-recuperados,d-negativos,d-sospechosos,d-confirmados,d-defunciones,d-recuperados,sospechosos-tasa-100k,confirmados-tasa-100k,activos
134,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-23,500,307,588,89,25,3,55,31,3,1,18.70,35.82,474
135,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-23,23,12,11,2,0,0,-1,0,0,0,12.41,11.37,9
136,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-23,173,17,17,4,1,6,-4,3,0,0,3.49,3.49,12
137,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-23,32,43,26,4,0,3,0,0,0,0,41.99,25.39,22
138,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-23,15,0,4,1,0,-1,0,1,0,0,0.00,83.73,3
139,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-24,500,187,413,39,35,0,50,20,3,4,18.92,41.78,339
140,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-24,500,261,660,110,26,0,-46,72,21,1,15.90,40.21,524
141,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-24,23,12,12,3,0,0,0,1,1,0,12.41,12.41,9
142,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-24,173,11,25,5,1,0,-6,8,1,0,2.26,5.14,19
143,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-24,32,34,47,5,0,0,-9,21,1,0,33.20,45.90,42
144,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-24,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
145,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-25,535,187,420,40,53,19,0,7,1,18,18.92,42.49,327
146,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-25,521,214,700,117,77,11,-47,40,7,51,13.04,42.64,506
147,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-25,23,11,15,3,0,0,-1,3,0,0,11.37,15.51,12
148,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-25,191,15,27,5,1,18,4,2,0,0,3.08,5.55,21
149,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-25,35,39,49,5,1,3,5,2,0,1,38.08,47.85,43
150,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-25,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
151,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-26,562,179,471,40,53,27,-8,51,0,0,18.11,47.65,378
152,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-26,536,257,737,120,77,15,43,37,3,0,15.66,44.90,540
153,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-26,23,4,15,3,0,0,-7,0,0,0,4.14,15.51,12
154,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-26,202,23,30,5,1,11,8,3,0,0,4.73,6.16,24
155,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-26,35,37,51,5,1,0,-2,2,0,0,36.13,49.80,45
156,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-26,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
157,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-27,576,147,508,40,58,14,-32,37,0,5,14.87,51.40,410
158,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-27,536,263,737,123,86,0,6,0,3,9,16.02,44.90,528
159,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-27,23,5,15,3,0,0,1,0,0,0,5.17,15.51,12
160,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-27,202,39,30,5,1,0,16,0,0,0,8.01,6.16,24
161,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-27,35,37,51,5,8,0,0,0,0,7,36.13,49.80,38
162,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-27,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
163,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-28,584,131,529,45,67,8,-16,21,5,9,13.25,53.52,417
164,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-28,540,229,765,130,91,4,-34,28,7,5,13.95,46.60,544
165,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-28,23,7,15,3,0,0,2,0,0,0,7.24,15.51,12
166,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-28,202,60,31,6,1,0,21,1,1,0,12.33,6.37,24
167,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-28,35,37,53,5,8,0,0,2,0,0,36.13,51.75,40
168,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-28,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
169,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-29,594,188,564,48,69,10,57,35,3,2,19.02,57.06,447
170,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-29,582,314,831,142,96,42,85,66,12,21,19.13,50.62,593
171,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-29,23,7,15,3,0,0,0,0,0,0,7.24,15.51,12
172,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-29,203,39,33,6,2,1,-21,2,0,0,8.01,6.78,25
173,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-29,38,47,63,5,9,3,10,10,0,0,45.90,61.52,49
174,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-29,15,0,5,1,0,0,0,1,0,0,0.00,104.67,4
175,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-30,602,191,589,55,78,8,3,25,7,9,19.32,59.59,456
176,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-30,587,310,859,153,117,5,-4,28,11,21,18.88,52.33,589
177,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-30,22,3,17,3,0,-1,-4,2,0,0,3.10,17.57,14
178,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-30,212,36,40,6,2,9,-3,7,0,0,7.40,8.22,32
179,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-30,39,52,67,5,9,1,5,4,0,0,50.78,65.43,53
180,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-30,17,0,5,1,0,2,0,0,0,0,0.00,104.67,4
181,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-01,614,241,602,58,87,12,50,13,3,9,24.38,60.91,457
182,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-01,610,307,912,170,126,23,-3,53,17,9,18.70,55.56,616
183,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-01,24,3,18,3,1,2,0,1,0,0,3.10,18.61,14
184,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-01,214,36,42,7,2,2,0,2,1,0,7.40,8.63,33
185,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-01,39,61,67,5,9,0,9,0,0,0,59.57,65.43,53
186,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-01,17,0,5,1,0,0,0,0,0,0,0.00,104.67,4
187,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-02,614,271,603,61,87,0,30,1,3,0,27.42,61.01,455
188,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-02,610,324,912,176,143,0,17,0,6,17,19.74,55.56,593
189,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-02,24,4,18,3,1,0,1,0,0,1,4.14,18.61,14
190,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-02,241,22,51,7,2,27,-14,9,0,0,4.52,10.48,42
191,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-02,39,61,67,5,9,0,0,0,0,0,59.57,65.43,53
192,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-02,17,0,5,1,0,0,0,0,0,0,0.00,104.67,4
193,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-03,615,276,609,61,87,1,5,6,0,0,27.92,61.61,461
194,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-03,614,339,927,184,148,4,15,15,8,0,20.65,56.47,595
195,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-03,24,5,24,3,1,0,1,6,0,0,5.17,24.81,20
196,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-03,260,22,59,7,2,19,0,8,0,0,4.52,12.12,50
197,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-03,39,62,69,5,9,0,1,2,0,0,60.54,67.38,55
198,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-03,17,0,5,1,0,0,0,0,0,0,0.00,104.67,4
199,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-04,576,262,635,62,89,-39,-14,26,1,2,26.51,64.24,484
200,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-04,674,292,977,185,148,60,-47,50,1,5,17.79,59.52,644
201,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-04,32,3,25,3,1,8,-2,1,0,0,3.10,25.84,21
202,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-04,226,26,53,7,2,-34,4,-6,0,0,5.34,10.89,44
203,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-04,53,42,83,5,9,14,-20,14,0,0,41.01,81.05,69
204,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-04,18,2,15,1,0,1,2,10,0,0,41.87,314.00,14
205,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-05,620,271,691,65,120,44,9,56,3,31,27.42,69.91,506
206,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-05,662,308,983,195,164,-12,16,6,10,16,18.76,59.88,624
207,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-05,30,7,26,3,1,-2,4,1,0,0,7.24,26.88,22
208,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-05,240,38,55,7,2,14,12,2,0,0,7.81,11.30,46
209,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-05,54,54,91,5,9,1,12,8,0,0,52.73,88.86,77
210,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-05,28,0,16,1,0,10,-2,1,0,0,0.00,334.94,15
211,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-06,620,240,727,69,131,0,-31,36,4,11,24.28,73.55,527
212,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-06,662,281,1037,203,176,0,-27,54,8,12,17.12,63.17,658
213,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-06,30,8,28,3,1,0,1,2,0,0,8.27,28.95,24
214,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-06,240,44,56,9,2,0,6,1,2,0,9.04,11.51,45
215,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-06,54,46,98,13,13,0,-8,7,8,4,44.92,95.70,72
216,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-06,28,0,16,1,0,0,0,0,0,0,0.00,334.94,15
217,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-07,678,205,815,77,151,58,-35,88,8,20,20.74,82.46,587
218,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-07,687,265,1102,222,186,25,-16,65,19,10,16.14,67.13,694
219,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-07,31,9,30,3,1,1,1,2,0,0,9.30,31.01,26
220,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-07,250,46,68,11,4,10,2,12,2,2,9.45,13.97,53
221,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-07,58,41,112,13,13,4,-5,14,0,0,40.04,109.37,86
222,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-07,29,0,16,1,0,1,0,0,0,0,0.00,334.94,15
223,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-08,684,171,858,85,175,6,-34,43,8,24,17.30,86.81,598
224,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-08,694,283,1136,226,198,7,18,34,4,12,17.24,69.20,712
225,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-08,31,10,30,3,1,0,1,0,0,0,10.34,31.01,26
226,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-08,252,56,75,12,4,2,10,7,1,0,11.51,15.41,59
227,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-08,58,44,112,13,13,0,3,0,0,0,42.97,109.37,86
228,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-08,32,6,16,1,0,3,6,0,0,0,125.60,334.94,15
229,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-09,721,239,911,86,203,37,68,53,1,28,24.18,92.17,622
230,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-09,701,396,1190,255,198,7,113,54,29,0,24.12,72.49,737
231,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-09,31,12,30,3,3,0,2,0,0,2,12.41,31.01,24
232,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-09,291,35,90,13,4,39,-21,15,1,0,7.19,18.49,73
233,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-09,58,67,112,14,18,0,23,0,1,5,65.43,109.37,80
234,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-09,32,7,16,1,0,0,1,0,0,0,146.54,334.94,15
235,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-10,726,243,942,96,198,5,4,31,10,0,24.58,95.30,648
236,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-10,706,408,1216,274,203,5,12,26,19,0,24.85,74.08,739
237,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-10,31,8,36,3,3,0,-4,6,0,0,8.27,37.22,30
238,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-10,292,33,97,13,4,1,-2,7,0,0,6.78,19.93,80
239,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-10,58,65,118,15,18,0,-2,6,1,0,63.47,115.23,85
240,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-10,35,9,16,1,0,3,2,0,0,0,188.40,334.94,15
241,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-11,729,240,949,99,212,3,-3,7,3,14,24.28,96.01,638
242,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-11,708,417,1237,280,217,2,9,21,6,14,25.40,75.35,740
243,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-11,31,8,36,4,3,0,0,0,1,0,8.27,37.22,29
244,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-11,294,77,103,16,4,2,44,6,3,0,15.82,21.17,83
245,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-11,59,66,120,16,20,1,1,2,1,2,64.45,117.18,84
246,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-11,32,7,16,1,0,-3,-2,0,0,0,146.54,334.94,15
247,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-12,733,291,996,101,221,4,51,47,2,9,29.44,100.77,674
248,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-12,709,452,1247,292,227,1,35,10,12,10,27.53,75.96,728
249,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-12,31,10,36,4,3,0,2,0,0,0,10.34,37.22,29
250,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-12,294,99,105,18,5,0,22,2,2,1,20.34,21.58,82
251,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-12,59,81,124,17,20,0,15,4,1,0,79.10,121.09,87
252,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-12,33,7,16,1,0,1,0,0,0,0,146.54,334.94,15
253,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-13,766,264,1093,107,230,33,-27,97,6,9,26.71,110.58,756
254,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-13,737,337,1359,311,239,28,-115,112,19,12,20.53,82.79,809
255,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-13,31,8,41,4,3,0,-2,5,0,0,8.27,42.38,34
256,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-13,366,16,127,18,5,72,-83,22,0,0,3.29,26.10,104
257,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-13,64,42,124,18,29,5,-39,0,1,9,41.01,121.09,77
258,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-13,39,1,18,1,0,6,-6,2,0,0,20.93,376.81,17
259,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-05-14,766,293,1121,116,254,0,29,28,9,24,29.64,113.41,751
260,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-05-14,737,317,1404,327,245,0,-20,45,16,6,19.31,85.53,832
261,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-05-14,31,9,41,4,3,0,1,0,0,0,9.30,42.38,34
262,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-05-14,366,45,127,20,5,0,29,0,2,0,9.25,26.10,102
263,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-05-14,64,45,124,18,33,0,3,0,0,4,43.94,121.09,73
264,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-05-14,39,7,18,2,0,0,6,0,1,0,146.54,376.81,16
